#: table_doi: 10.17182/hepdata.68162.v1/t26
#: name: Table 26
#: description: Average kaons v2 as a function of pT for centrality: 30-40%.

#: data_file: Table26.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,30-40%
#: Particle,Average kaons
#: Range,0.3 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.529433,0.0447459,0.00100268,-0.00100268,-0.00451338,0.00262563
0.712134,0.0721913,0.000895931,-0.000895931,-0.00319559,0.00277158
0.903372,0.099939,0.00116881,-0.00116881,-0.00152731,0.00414992
1.09945,0.12673,0.00119866,-0.00119866,-0.0014358,0.00475226
1.29685,0.151693,0.00130235,-0.00130235,-0.00123009,0.00341706
1.49586,0.168747,0.00144804,-0.00144804,-0.00143535,0.00511216
1.69489,0.184595,0.00166741,-0.00166741,-0.00175419,0.00664168
1.89459,0.197175,0.00189255,-0.00189255,-0.00181546,0.00589673
2.0941,0.203845,0.00217398,-0.00217398,-0.0025101,0.00754764
2.29413,0.214831,0.00248416,-0.00248416,-0.00227626,0.00504011
2.57697,0.222636,0.00250189,-0.00250189,-0.0015424,0.00351737
2.97741,0.206786,0.00390012,-0.00390012,-0.00206995,0.01679
3.37648,0.210367,0.00522941,-0.00522941,-0.0027615,0.0133154
3.78105,0.195119,0.00678834,-0.00678834,-0.00506515,0.0208791
4.39749,0.171782,0.007739,-0.007739,-0.001,0.001
5.41081,0.137341,0.01358,-0.01358,-0.001,0.001
6.74443,0.091595,0.01663,-0.01663,-0.001,0.001
8.81796,0.083948,0.036019,-0.036019,-0.001,0.001
10.7821,0.149237,0.060404,-0.060404,-0.001,0.001

