#: table_doi: 10.17182/hepdata.68162.v1/t44
#: name: Table 44
#: description: Lambda+AntiLambda v2 as a function of pT for centrality: 20-30%.

#: data_file: Table44.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,20-30%
#: Particle,Lambda+AntiLambda
#: Range,0.5 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.722435,0.010394,0.003015,-0.003015,-0.01,0.002
0.910367,0.022998,0.001815,-0.001815,-0.005,0.002
1.10515,0.042952,0.00145,-0.00145,-0.002,0.002
1.30197,0.064992,0.001386,-0.001386,-0.002,0.002
1.50036,0.088124,0.001277,-0.001277,-0.002,0.002
1.69883,0.111611,0.001292,-0.001292,-0.002,0.002
1.89779,0.139281,0.001354,-0.001354,-0.002,0.002
2.0966,0.158464,0.001485,-0.001485,-0.002,0.002
2.29543,0.183023,0.001658,-0.001658,-0.002,0.002
2.57853,0.20612,0.001446,-0.001446,-0.002,0.002
2.97683,0.229705,0.002012,-0.002012,-0.002,0.002
3.3756,0.248169,0.002824,-0.002824,-0.002,0.002
3.7763,0.258661,0.004024,-0.004024,-0.002,0.002
4.35835,0.253471,0.00451,-0.00451,-0.002,0.002
5.37378,0.219214,0.010559,-0.010559,-0.002,0.002
6.64809,0.168789,0.014589,-0.014589,-0.002,0.002
8.75144,0.102444,0.038036,-0.038036,-0.002,0.002
10.7841,0.027479,0.076047,-0.076047,-0.002,0.002

