#: table_doi: 10.17182/hepdata.68162.v1/t12
#: name: Table 12
#: description: Charged kaons v2 as a function of pT for centrality: 30-40%.

#: data_file: Table12.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,30-40%
#: Particle,Charged kaons
#: Range,0.3 < pT < 4.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.350599,0.01806,0.000753,-0.000753,-0.002036,0.002036
0.442194,0.036013,0.001408,-0.001408,-0.002788,0.002788
0.553856,0.047825,0.001118,-0.001118,-0.002792,0.002792
0.647042,0.063346,0.000826,-0.000826,-0.00289,0.00289
0.748525,0.079351,0.00079,-0.00079,-0.003058,0.003058
0.84974,0.095953,0.000764,-0.000764,-0.003255,0.003255
0.949477,0.11099,0.000772,-0.000772,-0.003452,0.003452
1.04924,0.124622,0.000808,-0.000808,-0.003664,0.003664
1.14907,0.137803,0.000835,-0.000835,-0.00388,0.00388
1.24899,0.15,0.000902,-0.000902,-0.004086,0.004086
1.34884,0.159518,0.000944,-0.000944,-0.004273,0.004273
1.44863,0.170477,0.001046,-0.001046,-0.00445,0.00445
1.54847,0.178068,0.001108,-0.001108,-0.004603,0.004603
1.64823,0.188288,0.001259,-0.001259,-0.004782,0.004782
1.74821,0.195396,0.001347,-0.001347,-0.004928,0.004928
1.84798,0.200423,0.001553,-0.001553,-0.005015,0.005015
1.94807,0.206656,0.001674,-0.001674,-0.005184,0.005184
2.048,0.211537,0.00195,-0.00195,-0.005249,0.005249
2.14803,0.211754,0.002115,-0.002115,-0.005282,0.005282
2.24825,0.217757,0.002472,-0.002472,-0.005381,0.005381
2.3481,0.219158,0.002674,-0.002674,-0.005489,0.005489
2.44821,0.227574,0.003127,-0.003127,-0.005572,0.005572
2.54796,0.223278,0.003378,-0.003378,-0.005774,0.005774
2.64798,0.228623,0.003959,-0.003959,-0.007029,0.007029
2.74813,0.22928,0.004289,-0.004289,-0.008999,0.008999
2.8483,0.229709,0.005005,-0.005005,-0.011249,0.011249
2.94821,0.224637,0.005417,-0.005417,-0.013461,0.013461
3.09231,0.220732,0.004366,-0.004366,-0.014807,0.014807
3.29239,0.225233,0.005539,-0.005539,-0.014973,0.014973
3.4928,0.214893,0.007097,-0.007097,-0.014899,0.014899
3.69274,0.216303,0.00905,-0.00905,-0.014797,0.014797
3.89133,0.219915,0.011863,-0.011863,-0.015184,0.015184

