#: table_doi: 10.17182/hepdata.68162.v1/t15
#: name: Table 15
#: description: K0s v2 as a function of pT for centrality: 0-5%.

#: data_file: Table15.yaml
#: keyword reactions: Pb Pb --> CHARGED X
#: keyword observables: V2
#: keyword phrases: Inclusive
#: keyword cmenergies: 2760.0
#: ABS(Y(RF=LAB)),<0.5
#: Centrality,0-5%
#: Particle,K0s
#: Range,0.4 < pT < 6.0 (GeV/c)
#: SQRT(S)/NUCLEON [GeV],2760.0
pT [(GeV/c)],v2,stat +,stat -,sys +,sys -
0.530047,0.008971,0.005185,-0.005185,-0.005,0.001
0.713068,0.014943,0.002345,-0.002345,-0.003,0.001
0.904017,0.022734,0.001889,-0.001889,-0.001,0.001
1.0996,0.033132,0.001802,-0.001802,-0.001,0.001
1.2971,0.038355,0.001794,-0.001794,-0.001,0.001
1.49572,0.040163,0.001974,-0.001974,-0.001,0.001
1.6948,0.049047,0.002249,-0.002249,-0.001,0.001
1.89408,0.053568,0.002749,-0.002749,-0.001,0.001
2.09392,0.052117,0.003089,-0.003089,-0.001,0.001
2.29343,0.057304,0.004058,-0.004058,-0.001,0.001
2.57393,0.057188,0.003706,-0.003706,-0.001,0.001
2.97427,0.060836,0.005794,-0.005794,-0.001,0.001
3.37531,0.056789,0.008466,-0.008466,-0.001,0.001
3.7791,0.039047,0.012296,-0.012296,-0.001,0.001
4.38487,0.024073,0.012873,-0.012873,-0.001,0.001
5.41046,0.01932,0.023202,-0.023202,-0.001,0.001
6.74453,0.051984,0.025697,-0.025697,-0.001,0.001
8.80892,0.025352,0.054055,-0.054055,-0.001,0.001
10.8747,0.067443,0.093597,-0.093597,-0.001,0.001

