0.225	0.2	0.25	5.46	0.127	-0.127	0.57	-0.57	3.50%	-3.50%
0.275	0.25	0.3	5.049	0.089	-0.089	0.372	-0.372	3.50%	-3.50%
0.325	0.3	0.35	4.771	0.074	-0.074	0.326	-0.326	3.50%	-3.50%
0.375	0.35	0.4	4.372	0.063	-0.063	0.287	-0.287	3.50%	-3.50%
0.425	0.4	0.45	3.862	0.099	-0.099	0.304	-0.304	3.50%	-3.50%
0.475	0.45	0.5	3.5	0.047	-0.047	0.332	-0.332	3.50%	-3.50%
0.525	0.5	0.55	2.916	0.073	-0.073	0.17	-0.17	3.50%	-3.50%
0.575	0.55	0.6	2.674	0.062	-0.062	0.171	-0.171	3.50%	-3.50%
0.625	0.6	0.65	2.204	0.05	-0.05	0.137	-0.137	3.50%	-3.50%
0.675	0.65	0.7	1.994	0.046	-0.046	0.14	-0.14	3.50%	-3.50%
0.725	0.7	0.75	1.746	0.042	-0.042	0.104	-0.104	3.50%	-3.50%
0.775	0.75	0.8	1.536	0.038	-0.038	0.088	-0.088	3.50%	-3.50%
0.825	0.8	0.85	1.32	0.033	-0.033	0.081	-0.081	3.50%	-3.50%
0.875	0.85	0.9	1.159	0.031	-0.031	0.068	-0.068	3.50%	-3.50%
0.925	0.9	0.95	1.061	0.03	-0.03	0.063	-0.063	3.50%	-3.50%
0.975	0.95	1	0.9025	0.0269	-0.0269	0.0547	-0.0547	3.50%	-3.50%
1.05	1	1.1	0.7416	0.0171	-0.0171	0.0423	-0.0423	3.50%	-3.50%
1.15	1.1	1.2	0.5593	0.0141	-0.0141	0.0315	-0.0315	3.50%	-3.50%
1.25	1.2	1.3	0.4089	0.0074	-0.0074	0.0338	-0.0338	3.50%	-3.50%
1.35	1.3	1.4	0.3105	0.0063	-0.0063	0.0261	-0.0261	3.50%	-3.50%
1.45	1.4	1.5	0.2504	0.0058	-0.0058	0.0215	-0.0215	3.50%	-3.50%
1.55	1.5	1.6	0.1915	0.0047	-0.0047	0.0169	-0.0169	3.50%	-3.50%
1.65	1.6	1.7	0.1472	0.004	-0.004	0.0134	-0.0134	3.50%	-3.50%
1.75	1.7	1.8	0.1172	0.0034	-0.0034	0.0111	-0.0111	3.50%	-3.50%
1.85	1.8	1.9	0.08064	0.00238	-0.00238	0.00792	-0.00792	3.50%	-3.50%
1.95	1.9	2	0.06738	0.00245	-0.00245	0.00691	-0.00691	3.50%	-3.50%
2.05	2	2.1	0.05315	0.00195	-0.00195	0.00571	-0.00571	3.50%	-3.50%
2.15	2.1	2.2	0.04449	0.0019	-0.0019	0.00502	-0.00502	3.50%	-3.50%
2.25	2.2	2.3	0.03497	0.00159	-0.00159	0.00416	-0.00416	3.50%	-3.50%
2.35	2.3	2.4	0.02459	0.00111	-0.00111	0.00308	-0.00308	3.50%	-3.50%
2.45	2.4	2.5	0.02064	0.0011	-0.0011	0.00273	-0.00273	3.50%	-3.50%
2.55	2.5	2.6	0.01606	0.00085	-0.00085	0.00225	-0.00225	3.50%	-3.50%
2.65	2.6	2.7	0.01272	0.00071	-0.00071	0.00189	-0.00189	3.50%	-3.50%
2.75	2.7	2.8	0.01021	0.00061	-0.00061	0.0016	-0.0016	3.50%	-3.50%
2.85	2.8	2.9	0.008844	0.000591	-0.000591	0.00147	-0.00147	3.50%	-3.50%
2.95	2.9	3	0.006926	0.000511	-0.000511	0.00122	-0.00122	3.50%	-3.50%
